Title,Author,Avg Ratings,Total Ratings,Score,Number of People Voted,Genre,Date Published,Number of Reviews
"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,4.13,448039,"34,178",409,Nonfiction,1995-01-01,19297
"A Great and Terrible Beauty (Gemma Doyle, #1)",Libba Bray,3.8,224450,"129,500","1,434",Fantasy,2003-12-09,10662
A Little Princess,Frances Hodgson Burnett,4.23,315796,"144,937","1,637",Classics,1905-01-01,10603
A Separate Peace,John Knowles,3.6,225926,"34,840",407,Classics,1959-01-01,10163
A Tree Grows in Brooklyn,Betty  Smith,4.3,485610,"23,660",289,Fiction,1943-08-18,29386
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.98,1240641,"396,796","4,192",Fantasy,1962-01-01,41043
"Alanna: The First Adventure (Song of the Lioness, #1)",Tamora Pierce,4.27,133739,"112,093","1,248",Fantasy,1983-09-01,6382
Alice in Wonderland,Jane Carruth,4.03,394023,"21,835",290,Classics,1865-01-01,5643
Along for the Ride,Sarah Dessen,4.03,209869,"25,415",315,Young Adult,2009-06-16,8896
"Among the Hidden (Shadow Children, #1)",Margaret Peterson Haddix,3.99,128191,"84,280",975,Young Adult,1998-09-01,7235
An Abundance of Katherines,John Green,3.51,540008,"39,291",463,Young Adult,2006-09-21,28492
"Angelfall (Penryn & the End of Days, #1)",Susan Ee,4.11,194691,"23,776",272,Fantasy,2011-05-21,17790
"Angus, Thongs and Full-Frontal Snogging (Confessions of Georgia Nicolson, #1)",Louise Rennison,3.76,134624,"18,879",233,Young Adult,1999-06-24,4910
Animal Farm,George Orwell,4.0,4164756,"58,102",698,Fiction,1945-08-17,109137
"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,3.96,459291,"37,759",436,Romance,2010-12-02,36377
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.32,1042676,"248,115","2,741",Classics,1908-01-01,42843
"Are You There God? It’s Me, Margaret",Judy Blume,3.94,247958,"141,651","1,559",Young Adult,1970-01-01,12803
"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,3.86,554818,"231,672","2,532",Fantasy,2001-04-26,14028
"Beastly (Beastly, #1)",Alex Flinn,3.82,177671,"37,790",460,Fantasy,2007-10-02,9397
"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,3.77,611359,"128,742","1,455",Fantasy,2009-12-01,23292
Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,4.05,81428,"31,465",375,Fantasy,1978-10-25,5934
Because of Winn-Dixie,Kate DiCamillo,4.1,267802,"121,621","1,412",Fiction,2000-03-01,11877
Before I Fall,Lauren Oliver,3.88,342154,"45,514",529,Young Adult,2010-02-14,22131
Black Beauty,Anna Sewell,4.0,288500,"114,461","1,332",Classics,1877-11-24,7234
"Bloodlines (Bloodlines, #1)",Richelle Mead,4.2,188695,"33,200",387,Young Adult,2011-08-23,9060
"Blue Bloods (Blue Bloods, #1)",Melissa de la Cruz,3.7,142926,"31,045",378,Young Adult,2006-03-27,5274
Book of a Thousand Days,Shannon Hale,3.97,55383,"30,032",351,Fantasy,2007-09-01,6702
Brainwalker,Robyn Mundell,4.31,9916,"44,879",484,Fantasy,2016-10-01,248
Bridge to Terabithia,Katherine Paterson,4.05,567873,"331,668","3,586",Fiction,1977-10-21,17468
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,4.16,886106,"250,944","2,768",Fiction,1964-01-17,17542
Charlotte’s Web,E.B. White,4.2,1939651,"290,926","3,208",Fiction,1952-10-15,25307
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.13,969431,"173,057","1,884",Fantasy,2012-01-03,72760
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.07,2083851,"911,118","9,452",Fantasy,2007-03-27,78556
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.31,853895,"368,800","3,955",Fantasy,2010-08-31,44262
Coraline,Neil Gaiman,4.13,741353,"181,571","2,012",Fantasy,2002-07-02,41109
"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor,3.99,377878,"39,466",453,Fantasy,2011-09-27,34934
"Dealing with Dragons (Enchanted Forest Chronicles, #1)",Patricia C. Wrede,4.16,92608,"19,903",248,Fantasy,1990-09-18,4527
"Delirium (Delirium, #1)",Lauren Oliver,3.95,473398,"129,130","1,443",Young Adult,2011-02-03,29064
"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",Jeff Kinney,3.98,731220,"34,569",413,Fiction,2007-04-01,22675
"Divergent (Divergent, #1)",Veronica Roth,4.14,4181539,"870,810","8,988",Young Adult,2011-04-25,123875
Eleanor & Park,Rainbow Rowell,3.93,1216922,"41,109",466,Young Adult,2012-04-12,79608
"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,4.01,418600,"338,046","3,606",Fantasy,1997-04-25,12848
Elsewhere,Gabrielle Zevin,3.9,66574,"19,971",242,Young Adult,2005-09-09,6947
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,4.31,1423487,"258,207","2,804",Science Fiction,1985-01-15,51537
"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.96,1859292,"419,000","4,468",Fantasy,2002-06-01,30280
"Evermore (The Immortals, #1)",Alyson Noel,3.59,295038,"84,766",977,Young Adult,2009-02-03,10680
"Fablehaven (Fablehaven, #1)",Brandon Mull,4.13,171439,"97,063","1,095",Fantasy,2006-06-07,12944
"Fallen (Fallen, #1)",Lauren Kate,3.72,602194,"138,136","1,553",Fantasy,2009-12-08,22410
Fangirl,Rainbow Rowell,3.94,763552,"40,691",467,Young Adult,2013-09-10,59440
Flipped,Wendelin Van Draanen,3.99,121528,"94,123","1,071",Young Adult,2001-10-09,10389
Flowers for Algernon,Daniel Keyes,4.22,727334,"39,715",475,Fiction,1966-04-01,38665
"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,3.85,225740,"86,389",885,Fiction,1979-01-01,13701
Forever...,Judy Blume,3.62,64485,"25,280",296,Young Adult,1975-01-01,4994
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,4.16,214955,"100,029","1,167",Fiction,1967-01-01,9471
"Glass Houses (The Morganville Vampires, #1)",Rachel Caine,3.92,102397,"21,777",272,Vampires,2006-10-03,5368
Go Ask Alice,Beatrice Sparks,3.74,282752,"98,027","1,111",Young Adult,1971-01-01,13885
"Gone (Gone, #1)",Michael  Grant,3.87,206120,"43,567",504,Young Adult,2008-06-24,12601
"Graceling (Graceling Realm, #1)",Kristin Cashore,4.07,471891,"265,035","2,874",Fantasy,2008-10-01,27804
"Gregor the Overlander (Underland Chronicles, #1)",Suzanne Collins,4.04,109191,"24,989",296,Fantasy,2003-09-01,7819
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,10714400,"1,007,280","11,796",Fantasy,1997-06-26,176666
"Harry Potter and the Sorcerer’s Stone (Harry Potter, #1)",J.K. Rowling,4.47,10714400,"1,611,281","14,722",Fantasy,1997-06-26,176666
"Hatchet (Brian's Saga, #1)",Gary Paulsen,3.78,420607,"163,854","1,829",Young Adult,1987-01-01,19402
"Heidi (Heidi, #1-2)",Johanna Spyri,4.03,205459,"19,008",263,Classics,1880-01-01,6732
"Holes (Holes, #1)",Louis Sachar,4.01,1285076,"559,763","5,830",Young Adult,1998-08-20,28306
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,4.29,401277,"140,249","1,564",Fantasy,1986-04-01,34469
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,3.92,725585,"250,584","2,703",Fantasy,2009-10-13,30972
"I Am Number Four (Lorien Legacies, #1)",Pittacus Lore,3.93,347011,"43,794",509,Young Adult,2010-08-03,17188
I Am the Messenger,Markus Zusak,4.03,165278,"23,629",277,Young Adult,2002-01-10,16524
"I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)",Ally Carter,3.84,191394,"134,106","1,496",,2006-04-25,8651
"If I Stay (If I Stay, #1)",Gayle Forman,3.92,940724,"43,603",515,Young Adult,2009-04-02,42352
"Inkheart (Inkworld, #1)",Cornelia Funke,3.92,433867,"255,977","2,824",Fantasy,2003-09-23,15026
Island of the Blue Dolphins,Scott O'Dell,3.87,341225,"204,888","2,235",Fiction,1960-09-09,10417
It's Kind of a Funny Story,Ned Vizzini,4.08,257378,"18,411",220,Young Adult,2006-03-21,13936
James and the Giant Peach,Roald Dahl,4.03,494430,"37,484",472,Childrens,1961-11-01,9451
Just Listen,Sarah Dessen,4.05,248840,"144,526","1,590",Young Adult,2006-04-06,9023
"Legend (Legend, #1)",Marie Lu,4.15,546659,"115,368","1,272",Dystopia,2011-11-29,38750
"Life As We Knew It (Last Survivors, #1)",Susan Beth Pfeffer,3.89,131113,"23,601",287,Young Adult,2006-10-01,10927
Life of Pi,Yann Martel,3.94,1689985,"28,717",353,Fiction,2001-09-11,55083
"Little House in the Big Woods (Little House, #1)",Laura Ingalls Wilder,4.21,277590,"24,693",328,Classics,1932-01-01,8418
"Little Women (Little Women, #1)",Louisa May Alcott,4.16,2333418,"305,815","3,340",Fiction,1868-09-30,58011
Lock and Key,Sarah Dessen,3.99,151327,"29,662",363,Young Adult,2008-04-22,5900
Looking for Alaska,John Green,3.96,1678887,"432,882","4,576",Young Adult,2005-03-03,78962
Lord of the Flies,William Golding,3.7,3040953,"190,787","2,140",Fiction,1954-09-17,60670
Maniac Magee,Jerry Spinelli,3.9,126762,"52,963",631,Young Adult,1990-04-02,5084
"Marked (House of Night, #1)",P.C. Cast,3.81,510734,"170,029","1,866",Young Adult,2007-05-01,16801
"Matched (Matched, #1)",Ally Condie,3.62,801314,"135,010","1,525",Young Adult,2010-11-30,36636
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,3.92,1312435,"45,188",540,Fantasy,2011-06-07,67844
Mrs. Frisby and the Rats of NIMH,Robert C. O'Brien,4.17,181945,"82,505",963,Fantasy,1971-01-01,4941
"My Side of the Mountain (Mountain, #1)",Jean Craighead George,4.1,81040,"19,023",244,Fiction,1959-01-01,4759
My Sister’s Keeper,Jodi Picoult,4.1,1249587,"33,298",405,Fiction,2004-04-06,38847
Nick & Norah's Infinite Playlist,Rachel Cohn,3.69,85005,"25,132",290,Young Adult,2006-01-01,5323
"Night  (The Night Trilogy, #1)",Elie Wiesel,4.38,1300603,"26,298",334,Nonfiction,1956-01-01,39845
Number the Stars,Lois Lowry,4.19,593705,"260,053","2,816",Historical Fiction,1989-04-24,17299
"Obsidian (Lux, #1)",Jennifer L. Armentrout,4.13,289745,"30,822",345,Young Adult,2011-11-29,21392
Of Mice and Men,John Steinbeck,3.89,2677073,"41,689",523,Fiction,1937-02-25,58217
Oliver Twist,Charles Dickens,3.88,411371,"18,201",254,Fiction,1838-01-01,11541
Paper Towns,John Green,3.71,1433910,"179,493","1,983",Young Adult,2008-10-16,57358
"Perfect Chemistry (Perfect Chemistry, #1)",Simone Elkeles,4.04,261757,"30,911",359,Romance,2008-12-23,11721
Peter Pan,J.M. Barrie,4.04,359200,"27,274",368,Fantasy,1911-01-01,17257
"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,4.15,204381,"113,292","1,303",Classics,1945-01-01,5490
"Poison Study (Study, #1)",Maria V. Snyder,4.09,171320,"22,677",270,Fantasy,2005-09-27,14373
"Pretty Little Liars (Pretty Little Liars, #1)",Sara Shepard,3.84,208556,"29,715",351,Young Adult,2006-10-03,11365
Pride and Prejudice,Jane Austen,4.29,4475028,"324,988","3,545",Fiction,1813-01-28,127028
"Princess Academy (Princess Academy, #1)",Shannon Hale,4.04,119383,"131,184","1,484",Fantasy,2005-07-01,9547
"Red Queen (Red Queen, #1)",Victoria Aveyard,3.99,1091307,"25,703",296,Young Adult,2015-02-10,73861
"Redwall (Redwall, #1)",Brian Jacques,4.14,124105,"39,778",470,Fantasy,1986-01-01,5597
"Sabriel (Abhorsen,  #1)",Garth Nix,4.17,213232,"102,979","1,140",Fantasy,1995-05-01,10284
"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,3.92,1020090,"23,473",271,Fantasy,2012-06-05,89350
"Shadowland (The Mediator, #1)",Jenny Carroll,4.04,70442,"19,707",244,Young Adult,2000-11-01,2933
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,3.85,1049797,"46,753",523,Dystopia,2011-11-15,103639
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,3.76,489374,"158,781","1,772",Young Adult,2009-08-01,25400
"Sideways Stories from Wayside School (Wayside School, #1)",Louis Sachar,4.16,99251,"22,355",280,Childrens,1978-01-01,3478
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.47,1047568,"38,613",421,Fantasy,2015-09-29,112639
Someone Like You,Sarah Dessen,3.92,104949,"22,781",288,Young Adult,1998-05-01,4317
Speak,Laurie Halse Anderson,4.05,612307,"294,965","3,139",Young Adult,1999-10-22,32577
Stardust,Neil Gaiman,4.1,471212,"37,612",456,Fantasy,1999-01-01,27582
"Stargirl (Stargirl, #1)",Jerry Spinelli,3.77,331695,"222,146","2,397",Young Adult,2000-06-30,17104
"Stormbreaker (Alex Rider, #1)",Anthony Horowitz,3.98,105348,"18,734",234,Young Adult,2000-09-04,6549
"The 5th Wave (The 5th Wave, #1)",Rick Yancey,4.01,468616,"26,224",306,Young Adult,2013-05-07,32126
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,4.06,277727,"86,763",973,Young Adult,2007-09-12,28281
The Adventures of Tom Sawyer,Mark Twain,3.92,974173,"26,816",366,Fiction,1876-06-01,14952
The Alchemist,Paulo Coelho,3.92,3292469,"23,681",286,Fiction,1988-01-01,131628
"The Alchemyst (The Secrets of the Immortal Nicholas Flamel, #1)",Michael Scott,3.86,163794,"22,721",286,Fantasy,2007-05-22,9568
"The Amulet of Samarkand (Bartimaeus, #1)",Jonathan Stroud,4.04,131685,"22,003",269,Fantasy,2003-09-30,6110
"The Angel Experiment (Maximum Ride, #1)",James  Patterson,4.07,228622,"175,315","1,933",Young Adult,2005-04-01,10205
The BFG,Roald Dahl,4.23,503979,"32,962",419,Fantasy,1982-11-01,12919
"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,4.02,546412,"266,580","2,940",Fiction,1999-09-30,23471
The Book Thief,Markus Zusak,4.39,2718849,"720,967","7,493",Historical Fiction,2005-09-01,151837
The Boy in the Striped Pajamas,John Boyne,4.16,892368,"57,322",665,Historical Fiction,2006-01-01,39386
The Call of the Wild,Jack London,3.91,449821,"32,832",410,,1903-01-01,16717
The Catcher in the Rye,J.D. Salinger,3.8,3702149,"173,125","1,930",Classics,1951-07-16,92351
The Chain Between Worlds (The Lost Artefacts #1),Johnathon Nicolaou,4.48,1188,"63,022",632,Fantasy,2021-09-28,50
"The City of Ember (Book of Ember, #1)",Jeanne DuPrau,3.9,290676,"188,816","2,100",Young Adult,2003-05-13,13636
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,1536660,"130,912","1,461",Fiction,2003-07-31,58351
The Fault in Our Stars,John Green,4.13,5432752,"921,913","9,545",Young Adult,2012-01-10,183192
"The Giver (The Giver, #1)",Lois Lowry,4.12,2643957,"961,302","9,867",Young Adult,1993-04-26,83252
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.03,1571837,"460,117","4,815",Fantasy,1995-07-01,28947
"The Goose Girl (The Books of Bayern, #1)",Shannon Hale,4.14,145891,"109,750","1,225",Fantasy,2003-08-04,11224
The Graveyard Book,Neil Gaiman,4.16,556066,"102,055","1,169",Fantasy,2008-09-30,41470
The Great Gatsby,F. Scott Fitzgerald,3.93,5545675,"49,976",614,Fiction,1925-04-10,115246
The Help,Kathryn Stockett,4.46,2898829,"33,727",411,Fiction,2009-02-10,92137
"The Hitchhiker’s Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.23,1924403,"47,037",575,,1979-10-12,50175
"The Hobbit, or There and Back Again (The Lord of the Rings, #0)",J.R.R. Tolkien,4.29,4231944,"633,914","6,689",Fantasy,1937-09-21,78581
"The Host (The Host, #1)",Stephenie Meyer,3.86,1029388,"447,258","4,730",Fantasy,2008-05-06,44571
"The House of the Scorpion (Matteo Alacran, #1)",Nancy Farmer,4.08,94330,"64,793",737,Young Adult,2002-01-01,7440
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,9216046,"1,091,382","11,131",Young Adult,2008-09-14,230008
The Invention of Hugo Cabret,Brian Selznick,4.22,186500,"40,941",488,Historical Fiction,2007-03-01,16559
"The Iron King (The Iron Fey, #1)",Julie Kagawa,3.88,215879,"38,196",453,Fantasy,2010-01-19,13660
"The Knife of Never Letting Go (Chaos Walking, #1)",Patrick Ness,3.97,199078,"26,533",306,Young Adult,2008-05-05,21270
The Last Song,Nicholas Sparks,4.16,563561,"21,562",270,Romance,2008-09-08,13478
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.31,3229994,"1,332,406","13,705",Fantasy,2005-07-28,110680
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.24,2957008,"45,918",560,Fantasy,1950-10-16,36776
The Little Prince,Antoine de Saint-Exupéry,4.33,2268361,"284,193","3,067",Classics,1943-01-01,75268
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,4.3,895180,"289,258","3,164",Fantasy,2010-10-12,36626
The Lovely Bones,Alice Sebold,3.86,2413263,"84,976",991,Fiction,2002-07-03,48029
"The Maze Runner (The Maze Runner, #1)",James Dashner,4.05,1598854,"294,176","3,191",Young Adult,2009-10-06,68046
"The Mysterious Benedict Society (The Mysterious Benedict Society, #1)",Trenton Lee Stewart,4.2,168075,"22,095",271,Mystery,2007-03-07,14092
The Neverending Story,Michael Ende,4.18,210693,"32,962",409,Young Adult,1979-09-01,10300
The Night Circus,Erin Morgenstern,4.01,1036699,"19,755",237,Fantasy,2011-09-13,110681
The Outsiders,S.E. Hinton,4.14,1463881,"499,449","5,218",Classics,1967-04-24,51947
The Perks of Being a Wallflower,Stephen Chbosky,4.23,1893957,"648,933","6,767",Young Adult,1999-02-01,99105
The Phantom Tollbooth,Norton Juster,4.2,296530,"168,885","1,849",Fantasy,1961-01-01,14083
The Princess Bride,William Goldman,4.27,921887,"152,074","1,737",Fantasy,1973-09-01,27868
"The Princess Diaries (The Princess Diaries, #1)",Meg Cabot,3.81,258646,"82,179",965,Young Adult,2000-05-30,7756
"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,4.05,385421,"31,187",355,Fantasy,2012-09-18,44598
"The Red Pyramid (The Kane Chronicles, #1)",Rick Riordan,4.1,411105,"42,135",508,Fantasy,2010-05-04,16775
"The Ruins of Gorlan (Ranger's Apprentice, #1)",John Flanagan,4.25,167078,"24,207",286,Fantasy,2004-11-01,10768
The Secret Garden,Frances Hodgson Burnett,4.16,1229567,"241,903","2,719",Fiction,1911-08-01,31089
The Secret Life of Bees,Sue Monk Kidd,4.1,1322109,"33,824",415,Fiction,2001-11-08,36992
"The Selection (The Selection, #1)",Kiera Cass,4.08,1660169,"151,510","1,652",Romance,2012-04-24,83594
"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,3.85,721123,"190,263","2,124",Young Adult,2001-09-11,8943
"The Summoning (Darkest Powers, #1)",Kelley Armstrong,4.02,174578,"92,212","1,040",Young Adult,2008-07-01,6792
The Tale of Despereaux,Kate DiCamillo,4.07,206364,"43,711",529,Fantasy,2003-08-25,12772
"The Thief (The Queen's Thief, #1)",Megan Whalen Turner,3.85,90098,"21,401",250,Fantasy,1996-10-31,10794
The Thief Lord,Cornelia Funke,3.98,100156,"35,310",436,Fantasy,1900-01-01,4698
The Time Traveler's Wife,Audrey Niffenegger,4.0,1825227,"21,262",274,Fiction,2003-01-01,55039
The True Confessions of Charlotte Doyle,Avi,3.85,86964,"47,890",559,Historical Fiction,1990-09-01,3932
The Truth About Forever,Sarah Dessen,4.12,224755,"134,514","1,494",Young Adult,2004-05-11,9114
The Westing Game,Ellen Raskin,4.0,223211,"148,584","1,631",Mystery,1978-06-01,15207
The Witch of Blackbird Pond,Elizabeth George Speare,4.02,156223,"81,053",955,Historical Fiction,1958-01-01,7791
The Witches,Roald Dahl,4.18,412025,"37,511",470,Fantasy,1981-09-28,10984
Thirteen Reasons Why,Jay Asher,3.84,1000381,"250,490","2,722",Young Adult,2007-10-18,57396
This Lullaby,Sarah Dessen,4.01,179904,"69,822",807,Young Adult,2002-05-27,5532
"Tithe (Modern Faerie Tales, #1)",Holly Black,3.69,101972,"23,390",294,Fantasy,2002-10-01,7003
To Kill a Mockingbird,Harper Lee,4.26,6499485,"716,585","7,495",Fiction,1960-07-11,123772
Treasure Island,Robert Louis Stevenson,3.85,515006,"22,231",301,Fiction,1882-01-28,17793
Tuck Everlasting,Natalie Babbitt,3.9,284070,"203,391","2,234",Fantasy,1975-01-01,12467
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,3.66,6938381,"1,026,140","10,472",Fantasy,2005-10-05,137900
"Uglies (Uglies, #1)",Scott Westerfeld,3.85,691611,"384,054","4,076",Young Adult,2005-02-08,28489
"Unwind (Unwind, #1)",Neal Shusterman,4.17,239153,"55,973",626,Young Adult,2007-11-06,23537
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.11,664519,"425,514","4,492",Young Adult,2007-08-16,27461
"Wake (Wake, #1)",Lisa McMann,3.75,82247,"22,748",278,Young Adult,2008-03-04,5676
Walk Two Moons,Sharon Creech,4.0,170543,"99,291","1,125",Young Adult,1994-01-01,8356
"Watership Down (Watership Down, #1)",Richard  Adams,4.09,492357,"109,232","1,241",Classics,1972-11-01,18561
Where the Red Fern Grows,Wilson Rawls,4.12,423290,"139,059","1,586",Classics,1961-01-01,14778
Where the Sidewalk Ends,Shel Silverstein,4.34,1453766,"103,530","1,231",Poetry,1974-01-01,12831
"Wicked Lovely (Wicked Lovely, #1)",Melissa Marr,3.7,165056,"60,276",708,Fantasy,2007-06-12,7578
"Will Grayson, Will Grayson",John Green,3.7,405992,"20,651",251,Young Adult,2010-04-06,20968
"Wings (Wings, #1)",Aprilynne Pike,3.76,82372,"23,263",288,Fantasy,2009-05-05,5376
"Wonder (Wonder, #1)",R.J. Palacio,4.36,1140999,"47,520",537,Fiction,2012-02-14,77773
